[1221/135949.567:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1221/163716.345:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1222/105309.599:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1222/112004.988:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1223/091227.565:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1223/092809.831:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1223/095430.486:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1223/100014.014:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1223/101556.308:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1223/103502.082:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1223/105037.303:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1223/110614.001:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1223/112145.843:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1223/113726.181:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1223/115257.865:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1223/120833.243:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1223/122404.838:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1223/123937.338:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1223/130514.420:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1223/132049.907:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1223/133739.809:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1223/135144.759:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1223/140717.846:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1223/142248.107:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1223/144127.299:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1223/145658.986:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1223/151231.073:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1223/152803.003:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1223/154336.019:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1223/154448.722:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1223/155911.311:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1223/161449.150:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1223/163021.076:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
